ObjectID,X,Y,School,City,GradeLevels
380,2529779.9767402,584403.17344552,CHRISTIAN ACADEMY OF KNOXVILLE,Knoxville,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
381,2257529.45398511,591483.75770951,CHRISTIAN ACADEMY OF THE CUMBERLANDS COVENANT ACD.  MERIDIAN CHRISTIAN ACD.,Crossville,"PK,PS,K,1,2,3,4,5,6,7,8,9"
382,817232.58191876,314560.71738798,CHRISTIAN BROTHERS HIGH SCHOOL,Memphis,"9,10,11,12"
383,1824156.00717056,417228.69815378,CHRISTIAN CHAPEL ACADEMY,Shelbyville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
384,1768017.62723644,776616.26080335,CHRISTIAN COMMUNITY SCHOOL,White House,"9,10,11,12"
387,2993708.80943418,826388.62685709,CHRISTIAN LIFE ACADEMY,Kingsport,"K,1,2,3,4,5,6,7,8,9,10,11,12"
388,1183579.85057628,414980.41189801,CHRISTIAN LIFE ACADEMY,Henderson,"K,1,2,3,4,5,6,7,8,9,10,11,12"
389,2494150.84410099,624975.48796656,CHRISTIAN OUTREACH ACADEMY,Oak Ridge,"K,1,2,3,4,5,6,7,8,9,10,11,12"
390,1846250.42643254,508472.48866546,CHRISTIANA ELEMENTARY,Christiana,"PK,K,1,2,3,4,5"
391,1847517.26187201,509634.42567358,CHRISTIANA MIDDLE SCHOOL,Christiana,"6,7,8"
392,2932052.30220525,689499.66103475,CHUCKEY DOAK HIGH SCHOOL,Afton,"9,10,11,12"
393,2932614.73295496,691180.02435916,CHUCKEY DOAK MIDDLE SCHOOL,Afton,"6,7,8"
394,2943000.32983572,701257.72726504,CHUCKEY ELEMENTARY,Chuckey,"PK,K,1,2,3,4,5"
395,2937600.30911397,814409.30900839,CHURCH HILL ELEMENTARY,Church Hill,"PK,K,1,2,3,4"
396,2853334.12167354,771956.09749027,CHURCH HILL INTERMEDIATE SCHOOL,Church Hill,"5,6"
397,2935206.14915395,813876.86180692,CHURCH HILL MIDDLE SCHOOL,Church Hill,"7,8"
398,762352.15169476,306888.03621967,CIRCLES OF SUCCESS LEARNING ACADEMY,Memphis,"K,1,2,3,4,5"
399,2385002.61045559,404142.21966368,CITY PARK ELEMENTARY,Athens,"K,1,2,3"
400,768676.20938974,301022.90810687,CITY UNIVERSITY BOYS PREPARATORY,Memphis,"6,7,8"
401,768245.77619571,301052.74444746,CITY UNIVERSITY SCHOOL OF LIBERAL ARTS,Memphis,"9,10,11,12"
402,2683349.59315677,781099.71771568,CLAIBORNE ADULT HIGH SCHOOL,Tazewell,"9,10,11,12"
403,2681365.60344232,774500.40315258,CLAIBORNE HIGH SCHOOL,New Tazewell,"9,10,11,12"
404,2577256.09482457,820260.72501073,CLAIRFIELD ELEMENTARY,Clairfield,"K,1,2,3,4,5,6,7,8"
405,1934024.51516208,311993.57107058,CLARK MEMORIAL SCHOOL,Winchester,"PK,K,1,2,3,4,5"
406,2261611.67420174,695119.05854199,CLARKRANGE HIGH SCHOOL,Clarkrange,"9,10,11,12"
407,1260401.76705724,568403.81674422,CLARKSBURG SCHOOL,Clarksburg,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12,N"
408,1568460.99155645,804617.55657559,CLARKSVILLE ACADEMY,Clarksville,"PK,PS,K,1,2,3,4,5,6,7,8,9,10,11,12"
409,1597940.06844211,796410.53453493,CLARKSVILLE CHRISTIAN SCHOOL,Clarksville,"PK,K,1,2,3,4,5,6,7,8"
410,1592147.23347067,794094.49627327,CLARKSVILLE HIGH SCHOOL,Clarksville,"9,10,11,12"
411,1574018.82953927,800050.9747606,CLARKSVILLE MONTESSORI CHILDREN'S HOUSE,Clarksville,"PK,K"
412,2526638.33721275,627887.14475536,CLAXTON ELEMENTARY,Powell,"PK,K,1,2,3,4,5"
413,2113574.12870736,806097.25105385,CLAY CO ADULT HIGH SCHOOL,Celina,"9,10,11,12"
414,2109730.51459678,810125.1300334,CLAY COUNTY HIGH SCHOOL,Celina,"9,10,11,12"
415,2303560.09697292,301070.33409391,CLEVELAND CHRISTIAN SCHOOL,Cleveland,"K,1,2,3,4,5,6,7,8,9,10,11,12"
416,2306913.87747454,314869.85218884,CLEVELAND HIGH SCHOOL,Cleveland,"9,10,11,12"
417,2299741.50013828,319336.40830451,CLEVELAND MIDDLE SCHOOL,Cleveland,"6,7,8"
418,2184208.24300124,245190.26370858,CLIFTON HILLS ELEMENTARY,Chattanooga,"PK,K,1,2,3,4,5"
419,2822189.98080221,795772.44970474,CLINCH SCHOOL,Eidson,"K,1,2,3,4,5,6,7,8,9,10,11,12"
420,2519537.78889127,649223.21375268,CLINTON ELEMENTARY,Clinton,"PK,K,1,2,3,4,5,6"
421,2516588.57165075,646678.06191217,CLINTON HIGH SCHOOL,Clinton,"9,10,11,12"
422,2519234.51521961,648723.04382127,CLINTON MIDDLE SCHOOL,Clinton,"6,7,8"
423,3131921.01930442,700578.92618505,CLOUDLAND ELEMENTARY SCHOOL,Roan Mountain,"K,1,2,3,4,5,6"
424,3130789.50824528,700513.79148022,CLOUDLAND HIGH SCHOOL,Roan Mountain,"7,8,9,10,11,12"
425,1821990.07703412,807045.60873718,CLYDE RIGGS ELEMENTARY,Portland,"K,1,2,3,4,5"
426,2435408.96896026,620461.60329701,COALFIELD SCHOOL,Coalfield,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
